###ÄNSI;;;;;;;;;;;;;;

chl.1.t;The Bastard Count;;;;;;;;;;;;;x
chl.1.d;Since your childhood, you have been ostracized, kept apart and mocked. For even if you are of noble birth, you are not of noble conception. Fatherless, for long have people looked at you as less, and you have had little figures to aspire to be. But now, you are in charge, for your mother's dynasty has legitimized you, and at her passing, your reign from Chillán has begun.\n\nBut as you are ready to set aside the past, a package arrives at your dwellings. A wooden box, carrying your family's stamp. It seems there are things your mother kept from you.;;;;;;;;;;;;;x
chl.1.a;What could be inside?;;;;;;;;;;;;;x
chl.2.t;A Black Origin;;;;;;;;;;;;;x
chl.1.t;As you can't keep waiting, you decide to open the box. A letter, carrying the seal of the House of Naranjo, is laying inside.\n\nAs you begin reading its contents, the world suddenly stops and starts making sense at once. For you find in it a signed confession, a letter from the old Duke of Ñuble and Maule, Manuel, detailing his relationship with your mother, and officially recognizing you, Fernando, as his son. While the Duke died heirless, and stories of his illicit relationships abound, this is different, for you are a legitimate child of the Riquelme House, and with this confession, the right for his land, has passed to you. While your drunkard uncle wastes his days in his throne, it seems your inheritance that he weakly gave away, is at hand to recover. But your father's legacy is a dark one to take, and maybe this is not the right path you are about to take.;;;;;;;;;;;;;x
chl.2.a;I am my father's son, and I will reclaim my birthright.;;;;;;;;;;;;;x
chl.2.b;I will never be the terrible man he was, nor his son.;;;;;;;;;;;;;x
calafatist.1.t;The Embrace of the Cold;;;;;;;;;;;;;x
calafatist.1.d;You never thought this moment would arrive, but it has, as you turn your head to see how far away from your home you are, you know this is it.\nAs night begins to fall, the cold turns ever-present, your stomach is empty and your mouth is dry, you spend your last cold moments, remembering everything you have been through, and contemplating the wondrous beauty of the wild.;;;;;;;;;;;;;x
calafatist.1.a;And you open your arms for the embrace.;;;;;;;;;;;;;x
calafatist.2.t;A Noble Sacrifice;;;;;;;;;;;;;x
calafatist.2.d;You always thought it would happen someday, but finally, [From.GetTitledFirstName] has done it, the ultimate sacrifice, as the goddess once did.\nNow, while [From.GetHerHis] memory will always be blessed by this pious act, the grace of this noble act falls upon you, as prosperity awaits in reward for [From.GetHerHis] sacrifice, and now it is your turn to begin your rule solemnly, the same way as [From.GetSheHe] rule ended.;;;;;;;;;;;;;x
calafatist.2.a;We'll remember your sacrifice.;;;;;;;;;;;;;x
calafatist.3.t;The Calafate Harvest;;;;;;;;;;;;;x
calafatist.3.d;Every summer, the faithful go and look for the goddess' ever-present gift, the calafate berries. It's in their sweet and delicate taste, in the life-giving flesh of the fruit, that we find our goddess and our faith incarnated. As the most prominent rite we express our faith in, it's truly a moment to show everyone our devotion, costly as the harvests might be in effort some times. While eating the harvested fruit fresh is a great gift, many choose to store the berries, as the gift of the goddess persists as long as they are good to eat, and consuming it in difficult times is a way to gain strength to survive another day.;;;;;;;;;;;;;x
calafatist.3.a;We'll enjoy the gift of the goddess.;;;;;;;;;;;;;x
calafatist.3.b;Her blessing might be needed later.;;;;;;;;;;;;;x
camino.6.t;The Brotherhood Reborn;;;;;;;;;;;;;x
camino.6.d;When the first brothers and sisters found the path of the stars ages ago, they set to follow the example of the Elder Siblings and Master Nibiru, and joined together in a Stellar Brotherhood of the true path, guided by an illuminated Master, who lead and presided over all the matters of the faith.\nFor ages since then, our people have sought guidance in the stars and found the rebirth of the Brotherhood under a Master as the next step in the path, yet we remained without a guide nor protector against those who obscure the light.\nBut now, [From.GetTitledFirstName] has shown us the light once again, and declaring [From.GetHerselfHimself] as Master of a reborn Stellar Brotherhood in the Earth, is ready to guide and strengthen the faith, as we advance in the next step through the path of the Elder Siblings, bringing us closer to fulfilling the Celestial Instructions than ever!;;;;;;;;;;;;;x
camino.6.a;This all, was written in the stars.;;;;;;;;;;;;;x
camino.9.t;The Path in the Stars;;;;;;;;;;;;;x
camino.9.d;You set yourself in position to read the night sky for answers, your traditional equipment all set and ready for the most important rite for the followers of the Star Path, or Camino Estelar.\n\nYou set your sight through the scope, ready to find whatever plan has the Master Nibiru set for you, and what step must you follow, as you concentrate and begin to seek the message hidden in the stars.;;;;;;;;;;;;;x
camino.9.a;I believe in [Root.Religion.GetRandomGodName]'s path for me.;;;;;;;;;;;;;x
camino.10.t;A Path of Conquest;;;;;;;;;;;;;x
camino.10.d;As you focus on finding the path, suddenly the celestial instructions are clear in their intention, and the Elder Siblings in their distant wisdom have revealed to you the next step in the star path.\n\nYou shall conquer the land of [prophesied_province.GetName], for this is what you have read in the stars. It's time to fulfill your destiny, and prove the prophecy to be true.;;;;;;;;;;;;;x
camino.10.a;This is what the stars desire.;;;;;;;;;;;;;x
camino.11.t;Prophecy Fulfilled;;;;;;;;;;;;;x
