###ÄNSI;;;;;;;;;;;;;;
###RELIGIONS;;;;;;;;;;;;;;
american_native;Amerindian;;;;;;;;;;;;;x
nguillatun;Nguillatun;;;;;;;;;;;;;x
nguillatun_DESC;The traditional faith of the Mapuche people, they believe that before the world was even formed, different primordial spirits, called the Ngen, Pillan, and Wangulén, came forth from the Pu-Am, the universal soul, and gave shape to all of creation through their own conflicts and stories. Now Ngenechén, the ruler spirit of mankind, blesses those that satisfy them with offerings in the Nguillatun ceremonies, and punishes those that fail to give worthy offerings.;;;;;;;;;;;;;x
xoon;Xo'on;;;;;;;;;;;;;x
xoon_DESC;Born from the revival of myths and cultures long lost in the south of the continent, led by the Xo'on shamans, they believe first and foremost in their supreme god, Temaulken, under him are the Ancestral Spirits, or Howenh. The Followers of the Xo'on also believe that, long ago, woman murdered the ancient spirits and ruled over man with an iron fist. The Sun Howenh, Kren, observed this oppression with rage, and so called for the Soortes, demons from the underworld that would bring back the natural order of things, so now men, with the assistance of the Soortes, would make sure that woman will never oppress man again.;;;;;;;;;;;;;x
pachamama;Pachamama;;;;;;;;;;;;;x
pachamama_DESC;The resurgence of the native spiritual beliefs, syncretized with traditional virgin devotion, and in conjunction with ecological and social movements of the past age before the Event, culminated in the ascendance of the cult of the Mother Earth, or Pachamama. As the source of life and the world we live in, mother of the Sun and the Moon and everything that is, Pachamamists believe that we must give offerings back to the World Mother in gratitude for everything she has given us, and caring for nature is caring for the gifts of the Goddess herself, thus protection of the land and living in harmony with it is the primordial duty of each person.;;;;;;;;;;;;;x
jerovia;Añetejerovia;;;;;;;;;;;;;x
jerovia_DESC;The Guarani people have no written records of their ancient myths and legends, but these beliefs persist nonetheless as Añetejerovia. Tupã, the supreme god of all creation, with the help of the moon goddess Arasy, descended upon the Earth in a location specified as a hill in the region of Aregúa, Paraguay, and from that location created all that is found upon the face of the earth, including the ocean, forests, and the animals. Tupã then created humanity, left them with the spirits of good and evil, and departed. Añetejerovians also believe in certain animist traditions and the Pombéro, malicious goblin or elf-like spirits who dwell in the forest and must be appeased.;;;;;;;;;;;;;x
inti;Inti;;;;;;;;;;;;;x
inti_DESC;Inti is the ancient Incan sun god and the patron of the historical Inca state. Although most Inti worshippers consider him to be the sun god, he is also viewed as a cluster of solar aspects, since many divide his identity according to the stages of the sun. A common belief is that Inti was born of Viracocha, who had many titles, chief among them being the God of Creation. Worship of Inti has seen a revival following the Event, as many in the Andes see an opportunity to renew themselves and perhaps even reestablish the Realm of the Four Parts.;;;;;;;;;;;;;x
inkarri;Inkarri;;;;;;;;;;;;;x
